superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Bacteria	Chloroflexi	NA	NA	6659.0	8556.0	11607.0	8532.0	5998.0
Bacteria	Chloroflexi	NA	Thermomicrobia	45.0	28.0	77.0	51.0	16.0
Bacteria	Chloroflexi	Sphaerobacterales	Thermomicrobia	167.0	155.0	203.0	166.0	61.0
Bacteria	Chloroflexi	Thermoflexales	Thermoflexia	3.0	1.0	3.0	3.0	0
Bacteria	Chloroflexi	Thermogemmatisporales	Ktedonobacteria	58.0	61.0	108.0	138.0	86.0
Bacteria	Chloroflexi	Thermomicrobiales	Thermomicrobia	45.0	30.0	42.0	31.0	8.0
Bacteria	Chrysiogenetes	Chrysiogenales	Chrysiogenetes	6.0	10.0	13.0	15.0	27.0
Bacteria	Cyanobacteria	Chroococcales	NA	69.0	77.0	115.0	131.0	54.0
Bacteria	Cyanobacteria	Chroococcidiopsidales	NA	12.0	10.0	26.0	20.0	6.0
Bacteria	Cyanobacteria	Gloeobacterales	Gloeobacteria	21.0	35.0	46.0	50.0	14.0
Bacteria	Cyanobacteria	Gloeoemargaritales	NA	11.0	4.0	21.0	6.0	0
Bacteria	Cyanobacteria	NA	NA	435.0	385.0	613.0	757.0	126.0
Bacteria	Cyanobacteria	Nostocales	NA	294.0	369.0	1677.0	512.0	241.0
Bacteria	Cyanobacteria	Oscillatoriales	NA	250.0	284.0	388.0	397.0	273.0
Bacteria	Cyanobacteria	Pleurocapsales	NA	20.0	45.0	39.0	42.0	20.0
Bacteria	Cyanobacteria	Spirulinales	NA	11.0	11.0	9.0	15.0	9.0
Bacteria	Cyanobacteria	Synechococcales	NA	362.0	288.0	433.0	494.0	411.0
Bacteria	Deferribacteres	Deferribacterales	Deferribacteres	29.0	29.0	65.0	57.0	55.0
Bacteria	Deinococcus-Thermus	Deinococcales	Deinococci	126.0	122.0	169.0	205.0	62.0
Bacteria	Deinococcus-Thermus	NA	Deinococci	3.0	1.0	0	5.0	0
Bacteria	Deinococcus-Thermus	Thermales	Deinococci	133.0	104.0	184.0	189.0	489.0
Bacteria	Dictyoglomi	Dictyoglomales	Dictyoglomia	16.0	8.0	8.0	16.0	48.0
Bacteria	Elusimicrobia	Elusimicrobiales	Elusimicrobia	1.0	4.0	11.0	12.0	9.0
Bacteria	Elusimicrobia	Endomicrobiales	Endomicrobia	8.0	7.0	12.0	7.0	9.0
Bacteria	Elusimicrobia	NA	NA	435.0	971.0	668.0	953.0	1063.0
Bacteria	Fibrobacteres	Chitinispirillales	Chitinispirillia	11.0	71.0	31.0	99.0	26.0
Bacteria	Fibrobacteres	Chitinivibrionales	Chitinivibrionia	1.0	5.0	2.0	12.0	10.0
Bacteria	Fibrobacteres	Fibrobacterales	Fibrobacteria	25.0	25.0	49.0	21.0	43.0
Bacteria	Fibrobacteres	NA	NA	8.0	4.0	18.0	1.0	4.0
Bacteria	Firmicutes	Acidaminococcales	Negativicutes	26.0	23.0	35.0	40.0	77.0
Bacteria	Firmicutes	Bacillales	Bacilli	31304.0	24794.0	44268.0	142213.0	108320.0
Bacteria	Firmicutes	Clostridiales	Clostridia	9785.0	10275.0	18750.0	42813.0	51954.0
Bacteria	Firmicutes	Erysipelotrichales	Erysipelotrichia	61.0	44.0	58.0	125.0	267.0
Bacteria	Firmicutes	Halanaerobiales	Clostridia	49.0	60.0	79.0	54.0	168.0
Bacteria	Firmicutes	Lactobacillales	Bacilli	4370.0	3452.0	6410.0	20586.0	13624.0
Bacteria	Firmicutes	Limnochordales	Limnochordia	38.0	45.0	37.0	54.0	13.0
Bacteria	Firmicutes	NA	Bacilli	2805.0	2427.0	4244.0	15251.0	10399.0
Bacteria	Firmicutes	NA	Clostridia	70.0	92.0	125.0	121.0	392.0
Bacteria	Firmicutes	NA	NA	325.0	373.0	638.0	1946.0	2529.0
Bacteria	Firmicutes	NA	Negativicutes	5.0	0	4.0	6.0	12.0
Bacteria	Firmicutes	NA	Tissierellia	19.0	24.0	24.0	48.0	81.0
Bacteria	Firmicutes	Natranaerobiales	Clostridia	1.0	2.0	10.0	8.0	4.0
Bacteria	Firmicutes	Selenomonadales	Negativicutes	175.0	202.0	311.0	847.0	1738.0
Bacteria	Firmicutes	Thermoanaerobacterales	Clostridia	266.0	496.0	348.0	521.0	1574.0
Bacteria	Firmicutes	Tissierellales	Tissierellia	36.0	62.0	66.0	160.0	286.0
Bacteria	Firmicutes	Veillonellales	Negativicutes	49.0	64.0	84.0	90.0	333.0
Bacteria	Fusobacteria	Fusobacteriales	Fusobacteriia	41.0	58.0	264.0	70.0	197.0
Bacteria	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadetes	2466.0	2893.0	3750.0	4862.0	299.0
Bacteria	Gemmatimonadetes	NA	NA	4314.0	4327.0	5051.0	6716.0	280.0
